HashThreads    SortThreads    WriteThreads    PerformanceTime(sec)    Throughput(MH/s)    DataTransferRate(MB/s)
1   1   4   65.7    1.02    15.87
1   1   16  66.59   1.01    15.38
1   4   1   50.33   1.33    20.35
1   4   4   49.93   1.34    20.51
1   4   16  50.31   1.33    20.35
1   16  1   48.52   1.38    21.1
1   16  4   48.74   1.38    21
1   16  16  49.6    1.35    20.64
4   1   1   130.21  0.515   7.86
4   1   4   125.49  0.53    8.16
4   1   16  124.99  0.54    8.19
4   4   1   105.22  0.64    9.73
4   4   4   107.86  0.62    9.49
4   4   16  110.89  0.61    9.23
4   16  1   107.6   0.62    9.52
4   16  4   110.67  0.61    9.25
4   16  16  111.36  0.6 9.19
16  1   1   146.67  0.46    6.98
16  1   4   148.23  0.45    6.91
16  1   16  144 0.47    7.11
16  4   1   124.74  0.54    8.21
16  4   4   126.9   0.53    8.07
16  4   16  127.07  0.528   8.06
16  16  1   124.63  0.58    8.22
16  16  4   133.64  0.502   7.66
16  16  16  133.92  0.501   7.65
